epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,74.4824,1.23365,1.5169,1.18785,0.89394,0.92,0.94772,0.68673,0.9087,1.08745,1.15492,0.0011882,0.0011882,0.0011882
43,76.2138,1.15851,1.48961,1.16707,0.84276,0.94,0.93136,0.69011,0.88434,1.12962,1.1255,0.0011684,0.0011684,0.0011684
44,77.9896,1.08557,1.51883,1.17596,0.84276,0.94,0.93136,0.69011,0.88434,1.12962,1.1255,0.0011486,0.0011486,0.0011486
45,79.7651,1.1616,1.35781,1.12351,0.81714,0.94,0.92285,0.6446,0.98147,1.19957,1.09946,0.0011288,0.0011288,0.0011288
46,81.619,1.17306,1.42899,1.15983,0.9064,0.96851,0.96739,0.68032,0.98204,1.1844,1.10849,0.001109,0.001109,0.001109
47,83.4152,1.16527,1.47116,1.14225,0.99115,0.92,0.97085,0.68258,0.99496,1.10553,1.13683,0.0010892,0.0010892,0.0010892
48,85.1768,1.08441,1.34588,1.13001,0.97758,0.94,0.97876,0.72339,0.95877,0.99071,1.15055,0.0010694,0.0010694,0.0010694
49,86.9364,1.18874,1.34481,1.16931,0.97758,0.94,0.97876,0.72339,0.95877,0.99071,1.15055,0.0010496,0.0010496,0.0010496
50,88.6771,1.1647,1.37156,1.13529,0.97904,0.9343,0.97024,0.72891,0.94868,0.94433,1.15134,0.0010298,0.0010298,0.0010298
51,90.4075,1.05706,1.46482,1.11163,0.97386,0.96,0.97694,0.72495,0.93908,0.94299,1.14148,0.00101,0.00101,0.00101
52,92.0973,1.15152,1.25733,1.16421,0.97946,0.95372,0.97334,0.74889,0.87499,0.8912,1.11322,0.0009902,0.0009902,0.0009902
53,93.8545,1.02322,1.26072,1.14817,0.97946,0.95372,0.97334,0.74889,0.87499,0.8912,1.11322,0.0009704,0.0009704,0.0009704
54,95.6341,1.0082,1.21639,1.11141,0.9391,0.92524,0.96688,0.73393,0.86965,0.8626,1.13076,0.0009506,0.0009506,0.0009506
55,97.3914,1.07251,1.2988,1.13825,0.97863,0.91586,0.9763,0.71854,0.87267,0.89331,1.13172,0.0009308,0.0009308,0.0009308
56,99.3274,1.03777,1.39726,1.147,0.95995,0.95879,0.97632,0.75299,0.83645,0.87655,1.12353,0.000911,0.000911,0.000911
57,101.348,0.99528,1.20773,1.14529,0.98695,0.96,0.97255,0.74009,0.8373,0.85398,1.09536,0.0008912,0.0008912,0.0008912
58,103.346,0.91825,1.21165,1.11263,0.98695,0.96,0.97255,0.74009,0.8373,0.85398,1.09536,0.0008714,0.0008714,0.0008714
59,105.37,1.0057,1.16983,1.14316,0.98925,0.94,0.97207,0.76199,0.83143,0.84731,1.08915,0.0008516,0.0008516,0.0008516
60,107.359,0.95036,1.16565,1.14003,0.9559,0.96,0.97268,0.75773,0.83613,0.83154,1.09964,0.0008318,0.0008318,0.0008318
61,109.378,1.08637,1.1372,1.12414,0.93904,0.98,0.98468,0.7845,0.83012,0.78185,1.13493,0.000812,0.000812,0.000812
62,111.349,1.09033,1.2838,1.17693,0.93904,0.98,0.98468,0.7845,0.83012,0.78185,1.13493,0.0007922,0.0007922,0.0007922
63,113.432,1.0673,1.19039,1.12471,0.99573,0.98,0.98443,0.80673,0.77092,0.76645,1.09432,0.0007724,0.0007724,0.0007724
64,115.413,1.05361,1.15588,1.09861,0.9972,0.98,0.98471,0.80491,0.76169,0.74147,1.06899,0.0007526,0.0007526,0.0007526
65,117.387,0.99082,1.12052,1.12466,0.99854,0.98,0.98347,0.77423,0.81795,0.78994,1.063,0.0007328,0.0007328,0.0007328
66,119.34,0.85367,1.05625,1.01888,0.99865,0.98,0.98013,0.76914,0.80486,0.80344,1.05189,0.000713,0.000713,0.000713
67,121.277,0.99315,1.11809,1.12025,0.99865,0.98,0.98013,0.76914,0.80486,0.80344,1.05189,0.0006932,0.0006932,0.0006932
68,123.212,0.92042,1.08801,1.02358,0.9782,0.98,0.97646,0.75443,0.79692,0.81172,1.04107,0.0006734,0.0006734,0.0006734
69,125.174,0.94768,1.13365,1.0024,0.97972,0.96614,0.98195,0.74631,0.77963,0.83356,1.03428,0.0006536,0.0006536,0.0006536
70,127.158,0.96143,1.08946,1.0388,0.97981,0.97058,0.97901,0.74454,0.75831,0.83216,1.02435,0.0006338,0.0006338,0.0006338
71,129.172,0.97676,1.11122,1.07573,0.98909,0.94,0.98943,0.77446,0.71817,0.78451,1.02716,0.000614,0.000614,0.000614
72,131.158,0.91501,1.04335,1.06477,0.98909,0.94,0.98943,0.77446,0.71817,0.78451,1.02716,0.0005942,0.0005942,0.0005942
73,133.191,0.88242,1.13809,1.0052,0.97988,0.97402,0.98284,0.80154,0.702,0.77371,0.99028,0.0005744,0.0005744,0.0005744
74,135.152,0.79295,1.07637,1.01763,0.99152,0.94,0.98228,0.80217,0.6827,0.7797,0.97422,0.0005546,0.0005546,0.0005546
75,137.164,0.91515,1.09962,1.06833,0.9849,0.94,0.98212,0.81757,0.65893,0.77846,0.97095,0.0005348,0.0005348,0.0005348
76,139.23,0.89075,1.02986,1.03536,0.9849,0.94,0.98212,0.81757,0.65893,0.77846,0.97095,0.000515,0.000515,0.000515
77,141.217,0.84981,1.08831,1.02334,0.99692,0.98,0.97505,0.81832,0.64477,0.71112,0.9809,0.0004952,0.0004952,0.0004952
78,143.25,0.832,0.93474,1.00525,0.99644,0.98,0.98258,0.81475,0.69739,0.69526,1.00789,0.0004754,0.0004754,0.0004754
79,145.215,0.91689,1.03243,1.02164,0.99713,0.98,0.9751,0.80343,0.73876,0.72087,1.00348,0.0004556,0.0004556,0.0004556
80,147.162,1.01479,1.12654,1.03034,0.97931,0.98,0.97265,0.80132,0.71974,0.72407,1.00164,0.0004358,0.0004358,0.0004358
81,149.163,0.86602,1.03168,1.03447,0.97931,0.98,0.97265,0.80132,0.71974,0.72407,1.00164,0.000416,0.000416,0.000416
82,151.169,0.77875,1.04883,1.0479,0.99907,0.96,0.97465,0.81063,0.68932,0.71113,1.00713,0.0003962,0.0003962,0.0003962
83,153.15,0.81634,0.91727,1.02465,0.99358,0.96,0.97427,0.80385,0.66423,0.71488,1.0128,0.0003764,0.0003764,0.0003764
84,155.197,0.85094,0.98814,0.98765,0.97936,0.94931,0.97313,0.78914,0.67921,0.7181,1.0205,0.0003566,0.0003566,0.0003566
85,157.193,0.93683,1.04451,1.04445,0.97936,0.94931,0.97313,0.78914,0.67921,0.7181,1.0205,0.0003368,0.0003368,0.0003368
86,159.282,0.78811,0.88917,0.98445,0.97938,0.94983,0.97246,0.79734,0.66081,0.70957,1.01341,0.000317,0.000317,0.000317
87,161.287,0.81492,1.05628,1.00074,1,0.95688,0.98166,0.80733,0.62899,0.71013,1.00804,0.0002972,0.0002972,0.0002972
88,163.705,0.82244,0.91998,1.02958,0.97869,0.96,0.98151,0.81952,0.6598,0.71423,1.00511,0.0002774,0.0002774,0.0002774
89,166.285,0.88311,1.06958,1.10156,0.97999,0.96,0.98179,0.81375,0.68132,0.72844,1.00113,0.0002576,0.0002576,0.0002576
90,168.63,0.79464,0.9495,1.00576,0.97999,0.96,0.98179,0.81375,0.68132,0.72844,1.00113,0.0002378,0.0002378,0.0002378
91,179.837,0.78177,1.09595,1.01207,0.97928,0.96,0.97427,0.81971,0.68397,0.74262,0.99823,0.000218,0.000218,0.000218
92,182.242,0.73333,1.10473,0.97033,0.9762,0.96,0.97345,0.79975,0.66,0.75149,1.00749,0.0001982,0.0001982,0.0001982
93,184.533,0.77174,1.06979,1.01905,0.99587,0.96,0.97354,0.80526,0.6393,0.73948,0.98765,0.0001784,0.0001784,0.0001784
94,186.788,0.76414,1.01041,0.99238,0.99587,0.96,0.97354,0.80526,0.6393,0.73948,0.98765,0.0001586,0.0001586,0.0001586
95,189.194,0.72689,1.07228,0.95924,0.99705,0.96,0.9739,0.81226,0.62968,0.694,0.98181,0.0001388,0.0001388,0.0001388
96,191.542,0.65579,0.96304,0.95241,0.97997,0.97844,0.97465,0.81995,0.64024,0.69496,0.97568,0.000119,0.000119,0.000119
97,194.021,0.7647,0.96812,0.91925,0.99948,0.98,0.97505,0.80766,0.63506,0.69145,0.97069,9.92e-05,9.92e-05,9.92e-05
98,196.5,0.70008,0.96284,0.94776,0.99222,0.98,0.97505,0.80798,0.63992,0.68153,0.97017,7.94e-05,7.94e-05,7.94e-05
99,199.13,0.61236,0.97959,0.96508,0.99222,0.98,0.97505,0.80798,0.63992,0.68153,0.97017,5.96e-05,5.96e-05,5.96e-05
100,201.549,0.64158,1.01909,0.86162,0.99534,0.98,0.97505,0.81595,0.62215,0.67691,0.9725,3.98e-05,3.98e-05,3.98e-05
